"","authors","title","doi","journal","year"
"5938","Dai, Lu; Xie, Bixia","Adaptations to Optimized Interval Training in Soccer Players: A Comparative Analysis of Standardized Methods for Individualizing Interval Interventions","10.52082/jssm.2023.760","JOURNAL OF SPORTS SCIENCE AND MEDICINE",2023
"3973","Tebar, William R.; Ritti-Dias, Raphael M.; Saraiva, Bruna T. C.; Suetake, Vinicius Y. B.; Delfino, Leandro D.; Christofaro, Diego G. D.","Physical activity levels are associated with regional bone mineral density in boys","10.1080/00913847.2019.1568770","PHYSICIAN AND SPORTSMEDICINE",2019
"2604","Kipp, Kristof","Joint and pull phase specific relative effort in weightlifting and simulated training effects","10.1080/14763141.2021.2019303","SPORTS BIOMECHANICS",2024
"3799","Garcia-de-Alcaraz, Antonio; Usero, Laura","Influence of Contextual Variables on Performance of the Libero Player in Top-Level Women's Volleyball","10.2478/hukin-2019-0032","JOURNAL OF HUMAN KINETICS",2019
"604","Li, Yao-Chune; Song, Tai-Feng; Liew, Ee Won; Wu, Sheng K.","Tracking aerobic and anaerobic fitness in table tennis players with various athletic levels: A two-year study","10.1177/17479541251389942","INTERNATIONAL JOURNAL OF SPORTS SCIENCE & COACHING",2025
"7740","Alsasua, Roberto; Lapresa, Daniel; Arana, Javier; Teresa Anguera, M.; Garzon, Belen","Successful and Unsuccessful Offensive Sequences Ending in a Shot in Professional and Elite Under-16 Basketball","10.1515/hukin-2017-0191","JOURNAL OF HUMAN KINETICS",2018
"6033","Arroyo, Ruben; Alsasua, Roberto; Arana, Javier; Lapresa, Daniel; Anguera, M. Teresa","Match analysis in wheelchair basketball: An observational analysis of the best team in the world (USA) in the 2020 Paralympic Games","10.1177/17479541231181616","INTERNATIONAL JOURNAL OF SPORTS SCIENCE & COACHING",2024
"2422","Friesen, Kenzie B.; Aguinaldo, Arnel; Oliver, Gretchen D.","Athlete body composition influences movement during sporting tasks: an analysis of softball pitchers' joint angular velocities","10.1080/14763141.2022.2060853","SPORTS BIOMECHANICS",2022
"1351","Kurt, Cem; Tuna, Gokhan; Kurtdere, Imren","Acute Effects of Slow, Moderate and Fast Tempo Dynamic Stretching Exercises on Power in Well-Trained Male Wrestlers","10.5114/jhk/183543","JOURNAL OF HUMAN KINETICS",2024
"5173","da Silva Duarte, Jonatas Deivyson Reis; Kons, Rafael Lima; Weldon, Anthony; Ouergui, Ibrahim; Gencoglu, Cebrail; Rydzik, Lukasz; Fett, Waleria Christiane Rezende; Fett, Carlos Alexandre","Strength and conditioning (S&C) practices and perceptions among kickboxing coaches and S&C coaches: A survey study","10.1177/17479541261443624","INTERNATIONAL JOURNAL OF SPORTS SCIENCE & COACHING",2026
"4304","Pogetti, Livia Silveira; Nakagawa, Theresa Helissa; Contecote, Giovanna Prado; Camargo, Paula Rezende","Core stability, shoulder peak torque and function in throwing athletes with and without shoulder pain","10.1016/j.ptsp.2018.08.008","PHYSICAL THERAPY IN SPORT",2018
"1994","Konrad, Andreas; Tilp, Markus; Mehmeti, Leutrim; Mahnic, Nik; Seiberl, Wolfgang; Paternoster, Florian K.","The Relationship Between Lower Limb Passive Muscle and Tendon Compression Stiffness and Oxygen Cost During Running","10.52082/jssm.2023.28","JOURNAL OF SPORTS SCIENCE AND MEDICINE",2023
"2831","Burton, Sophie; Vicinanza, Domenico; Exell, Timothy; Newell, Karl M.; Irwin, Gareth; Williams, Genevieve K. R.","Attractor dynamics of elite performance: the high bar longswing","10.1080/14763141.2021.1954236","SPORTS BIOMECHANICS",2024
"7160","Shahraki, Sima Forouzandeh; Minoonejad, Hooman; Tabrizi, Yousef Moghadas","Comparison of some intrinsic risk factors of shoulder injury in three phases of menstrual cycle in collegiate female athletes","10.1016/j.ptsp.2020.02.010","PHYSICAL THERAPY IN SPORT",2020
"2776","Liu, Yide; Yu, Cheng; Damberg, Svenja","Exploring the drivers and consequences of the ""awe"" emotion in outdoor sports - a study using the latest partial least squares structural equation modeling technique and necessary condition analysis","10.1108/IJSMS-12-2020-0232","INTERNATIONAL JOURNAL OF SPORTS MARKETING & SPONSORSHIP",2022
