PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	C1	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	WC	UT	NR	DT	PM
J	Bermudez-Gonzalez, Guillermo; Maldonado Canca, Luis-Alfonso; Cabrera-Sanchez, Juan-Pedro; Cobo-Paz, Lucia								Symbols, sponsors and supporters: exploring the role of symbolic leadership and sponsorship congruence in fan behavior								INTERNATIONAL JOURNAL OF SPORTS MARKETING & SPONSORSHIP				27	6			36	63		10.1108/IJSMS-09-2025-0459			DEC 14 2026	2026	PurposeThis study examines how symbolic leadership and sponsorship congruence jointly influence fan behavior in a high-identity associative sport context. Specifically, it analyzes how presidential authenticity and perceived sponsor-club fit shape pride of belonging, team identification, attitudes toward the sponsor, and purchase intention in FC Barcelona.Design/methodology/approachData were collected from 902 FC Barcelona members who voted in the 2021 presidential election. Using partial least squares structural equation modeling (PLS-SEM), the study tests a mediated symbolic model grounded in Social Identity Theory, the Meaning Transfer Model, and the Congruence Hypothesis. Multigroup analyses were conducted to explore heterogeneity by voting behavior and gender.FindingsPresidential authenticity positively influences meaning transfer and brand pride, while sponsor-club congruence enhances both pride and attitudes toward the sponsor. Brand pride strengthens team identification and sponsor attitudes, which in turn significantly predict purchase intention toward the sponsor. Pride operates primarily as an indirect mechanism rather than a direct behavioral driver. Multigroup results indicate that some symbolic effects vary according to voting behavior.Research limitations/implicationsThe study contributes to social identity theory, the congruence hypothesis and symbolic transfer theory by integrating emotional and symbolic variables into a unified framework for sports sponsorship management.Practical implicationsPractically, the results offer actionable insights for sports clubs and sponsoring brands on managing symbolic capital, establishing legitimacy, and achieving cultural alignment in strategic decisions.Originality/valueThe study integrates leadership symbolism and sponsorship congruence into a unified symbolic model, demonstrating how internal and external symbolic cues jointly shape fan responses in associative sport organizations.		[Bermudez-Gonzalez, Guillermo; Maldonado Canca, Luis-Alfonso; Cabrera-Sanchez, Juan-Pedro] Univ Malaga, Dept Business Management & Mkt, Malaga, Spain; [Cobo-Paz, Lucia] Univ Malaga, Malaga, Spain; [Bermudez-Gonzalez, Guillermo] Univ Malaga, Dept Business Management & Mkt, Malaga, Spain								0							Hospitality, Leisure, Sport & Tourism	WOS:001719131900001	87	Article; Article		
J	Fan, Penglei; Han, Mengzhao; Wang, Ting; Huang, Guihua; Wang, Xiaoshuai; Li, Ming								Muscle Synergy Reorganization and Force-Time Differences Across Upper-Limb Pushing Tasks with Different Mechanical Characteristics								JOURNAL OF SPORTS SCIENCE AND MEDICINE											10.52082/jssm.2026.665				2026	This study compared the neuromuscular control strategies and force-time profiles of three upper-limb pushing tasks-the standard push-up (SP), plyometric push-up (PP), and standard squat push-up (SSP)-representing the endurance-, power-, and strength-oriented continuum of upper-limb pushing performance. Fifteen male rugby athletes performed SP, PP, and SSP on dual force plates while surface electromyography (EMG) (12 muscles) and vertical forces were concurrently recorded. EMG signals were processed and decomposed using nonnegative matrix factorization to extract muscle synergies. Synergy modules were evaluated using cosine similarity and paired-samples t tests. One-dimensional Statistical Parametric Mapping (SPM1D) was employed to compare synergy primitives and force-time profiles across tasks. Two synergies reconstructed all tasks (VAF > 0.95). Synergy modules differed among conditions (cosine similarity < 0.90), with task-specific changes mainly involving distal forearm, scapular-trunk, and elbow-extensor muscle weightings. SPM1D identified task-specific differences in synergy primitive 1 during 0%-12% and 48% - 71%, and in primitive 2 during 71% - 100%, with PP and SSP exhibiting higher late-phase activation. PP generated higher force than SP during 13% - 79%, while SSP produced higher force during 33% - 36% and 56% - 83%, but lower force early and near takeoff. Despite sharing two synergies, the three pushing tasks exhibited distinct synergy structures, activation timing, and force-time profiles. PP emphasized rapid early-to-mid phase propulsion, whereas SSP relied on sustained late-phase force. These findings demonstrate task-specific neuromechanical regulation and may help inform exercise selection for upper-limb strength and power development in trained athletic populations.		[Fan, Penglei; Han, Mengzhao; Huang, Guihua; Wang, Xiaoshuai; Li, Ming] Yangtze Univ, Coll Educ & Sports Sci, Jingzhou, Hubei, Peoples R China; [Wang, Ting] Jingchu Univ Technol, Inst Student Phys Hlth Promot, Jingmen, Hubei, Peoples R China; [Fan, Penglei] Yangtze Univ, Coll Educ & Sports Sci, Jingzhou, Hubei, Peoples R China								0							Sport Sciences	WOS:001825810300001	32	Article; Early Access; Article; Early Access		
J	Sardroodian, Mahta; Rahmani, Hiwa; Behm, David G.								Dominant Leg Continuous Unilateral Hopping Impairs Contralateral Leg But Not Upper Body Explosive Performance								JOURNAL OF SPORTS SCIENCE AND MEDICINE											10.52082/jssm.2026.656				2026	Many non-local muscle fatigue studies utilize continuous isometric contractions to induce unilateral fatigue and assess contralateral limb strength and endurance. The present study aimed to investigate the effects of dynamic unilateral lower-limb fatigue on contralateral lower-limb and upper-body explosive performance. Eighteen healthy adults (30.3 +/- 9.3 years) completed sessions involving continuous exercise performed to induce fatigue (1 min of unilateral hopping), intermittent exercise performed to induce fatigue (two 30-s bouts of unilateral hopping), and a non-active control. Explosive performance was measured before the intervention and at 1, 5, and 10 min post-intervention using repeated single-leg hops (10 repetitions) and rebound push-ups (5 repetitions). Significant interactions showed that contralateral hop height (p = 0.048), reactive strength index (p = 0.003), and lower-limb power (p < 0.001) were significantly reduced 1 min postexercise after unilateral continuous hopping. Hop height and power remained significantly lower at 5 min post-exercise (p = 0.03 and p = 0.008, respectively). In contrast, intermittent hopping did not induce significant contralateral lower-limb impairments but resulted in higher upper-body ratings of perceived exertion 1 min post-exercise compared with pre-exercise (p = 0.017) and 5 min post-exercise (p = 0.008). In conclusion, continuous unilateral hopping transiently impairs contralateral lower-limb explosive performance, whereas upper-body explosive performance remained unaffected. Intermittent hopping increases upper-body perceived exertion without affecting contralateral performance. These findings highlight the task-specific and structure-dependent nature of non-local fatigue.		[Sardroodian, Mahta; Rahmani, Hiwa; Behm, David G.] Mem Univ Newfoundland, Sch Human Kinet & Recreat, St John, NF, Canada; [Behm, David G.] Mem Univ Newfoundland, Sch Human Kinet & Recreat, St John, NF, Canada								0							Sport Sciences	WOS:001825809000001	29	Article; Early Access; Article; Early Access		
J	Ren, Fang; Zhao, Xing; Qu, Sha								The Influence of Structured Multisport Activities at Different Weekly Frequencies on the Gross Motor Development of Preschool Children: Evidence for a Dose-Response Relationship								JOURNAL OF SPORTS SCIENCE AND MEDICINE											10.52082/jssm.2026.627				2026	This study investigates the association between participation in structured multisport activities at different weekly frequencies and gross motor development in preschool children, aiming to provide practical evidence for promoting gross motor skills in early childhood. A total of 63 preschool children were classified into four groups according to their weekly participation frequency in structured multisport activities: the low-frequency group (L; up to 1 session/week, with intermittent participation; n = 16), the medium-frequency group (M; fixed participation in 1 session/week, with occasional participation in a second session; n = 15), the medium-high-frequency group (MH; fixed participation in 2 sessions/week, with occasional participation in a third session; n = 18), and the high-frequency group (H; fixed participation in >= 3 sessions/week; n = 14). All groups participated in a 12-week structured multisport activity program (60 minutes per session). Gross motor development was assessed before and after the intervention using the Test of Gross Motor Development-3 (TGMD-3). A 2 (Time: pre- vs. post-intervention) & times; 4 (Group: L/M/MH/H) mixed-design ANOVA was applied to evaluate changes in each gross motor development outcome within and between groups. After the 12-week intervention, (1) the total score of gross motor development showed a significant Time & times; Group interaction (p < 0.01, eta(2)p = 0.280). All groups improved (p < 0.01), and H, MH, and M showed greater improvements than L (p < 0.05). (2) The total score of locomotor movements showed a significant Time & times; Group interaction (p < 0.01, eta 2p = 0.205). All groups improved (p < 0.01), and H and MH showed greater improvements than L (p < 0.05). For individual locomotor skills, horizontal jump showed a significant interaction (p < 0.05, eta(2)p = 0.143); all groups improved (p < 0.01), and H and MH showed greater improvements than L (p < 0.05). (3) The total score of object control movements showed a significant Time & times; Group interaction (p < 0.01, eta 2p = 0.183). All groups improved (p < 0.01), and H and MH showed greater improvements than L (p < 0.05). For individual object control skills, two-hand strike of a stationary ball, one hand stationary dribble and two hand catch showed significant Time & times; Group interactions (p < 0.05, eta(2)p = 0.124, 0.128, and 0.163, respectively). For two-hand strike of a stationary ball and one hand stationary dribble, H and MH showed greater improvements than L (p < 0.05), whereas the significant interaction for two hand catch did not translate into significant Bonferroni-adjusted between-group differences at either pre-test or post-test. (4) The L group did not show significant improvements in gallop, skip, and one hand stationary dribble (p > 0.05), whereas the other groups improved in a wider range of movements (p < 0.05). After three months of intervention, preschool children participating in structured multisport activities showed improvements in overall gross motor development. Regular participation (once a week or more) was associated with improvement across all assessed gross motor skills. More frequent participation (at least twice per week) was associated with greater improvements in specific skills, including horizontal jump, two-hand strike of a stationary ball, and one hand stationary dribble. Although gross motor development generally tended to improve as participation frequency increased, no statistically significant additional advantage of the high-frequency group over the medium-high-frequency group was detected. These findings should be interpreted cautiously, given the absence of a non-intervention control group and the relatively limited sample size.		[Ren, Fang; Zhao, Xing; Qu, Sha] Beijing Sport Univ, Sch Sport Sci, Beijing 100000, Peoples R China; [Zhao, Xing] Beijing Sport Univ, Sch Sport Sci, Beijing 100000, Peoples R China								0							Sport Sciences	WOS:001824977100001	26	Article; Early Access; Article; Early Access		
J	Qing, Liang; Zhao, Tianyu; Wang, Linjie; Zhu, Li; Dong, Chao; Liu, Jiancheng; Hu, Xiaoming; He, Sheng; Zhou, Tingting; Shan, Wenjing; Gou, Xiang; Pang, Rizhao								Effects of Blood Flow Restriction Training at Different Levels of Arterial Occlusion Pressure on Body Composition and Athletic Performance in Youth Soccer Players: A Randomized Controlled Trial								JOURNAL OF SPORTS SCIENCE AND MEDICINE											10.52082/jssm.2026.606				2026	This study aimed to investigate the effects of low-load blood flow restriction training (BFRT) performed at different levels of arterial occlusion pressure (AOP) on body composition, maximal strength, and athletic performance in youth soccer players. Twenty-four male youth soccer players were randomly assigned to 40% AOP group, 60% AOP group, or control group. Participants in the BFRT groups performed lower-limb resistance training at 30% of one-repetition maximum (1RM) under the corresponding pressure conditions, whereas the control group trained without BFR. Training was conducted three times per week for six weeks. Body composition, back squat 1RM, countermovement jump (CMJ), T-test, and 30-m sprint performance were assessed before and after the intervention. Results showed that lower-limb muscle mass increased significantly in both the 40% AOP group (mean change = 0.55 kg, 95% CI: 0.13 to 0.97 kg, P = 0.010) and the 60% AOP group (mean change = 0.83 kg, 95% CI: 0.37 to 1.29 kg, P < 0.001), with the 60% AOP group showing significantly greater gains than the control group (between-group difference = 1.48 kg, 95% CI: 0.40 to 2.56 kg, P = 0.008). Back squat 1RM improved significantly in both the 40% AOP group (mean change = 6.50 kg, 95% CI: 3.90 to 9.10 kg, P < 0.001) and the 60% AOP group (mean change = 9.25 kg, 95% CI: 6.75 to 11.75 kg, P < 0.001), with the 60% AOP group demonstrating superior strength gains compared with the 40% AOP group (between-group difference = 2.94 kg, 95% CI: 0.20 to 5.68 kg, P = 0.048). CMJ height and T-test performance improved significantly in both the 40% AOP group (CMJ: mean change = 2.07 cm, 95% CI: 0.80 to 3.34 cm, P = 0.002; T-test: mean change =- 0.23 s, 95% CI:-0.35 to-0.11 s, P = 0.001) and the 60% AOP group (CMJ: mean change = 2.65 cm, 95% CI: 1.00 to 4.30 cm, P = 0.003; T-test: mean change =-0.26 s, 95% CI:-0.38 to-0.14 s, P < 0.001), with no significant differences between the two BFRT groups (all P > 0.05). No significant changes were observed in 30-m sprint performance across groups (all P > 0.05). This study showed that six weeks of low-load (30% 1RM) blood flow restriction training performed at both 40% and 60% AOP was associated with improvements in lower-limb muscle mass, squat strength, and selected aspects of athletic performance in youth soccer players, compared with low-load training without BFR. While both pressure levels elicited comparable improvements in CMJ and agility performance, training at 60% AOP was associated with greater adaptations in lower-limb muscle mass and squat strength, with no additional benefits observed for 30-m sprint performance.		[Qing, Liang; Wang, Linjie; Zhu, Li; Dong, Chao; Liu, Jiancheng; Hu, Xiaoming; He, Sheng; Zhou, Tingting; Shan, Wenjing; Gou, Xiang; Pang, Rizhao] Gen Hosp Western Theater Command, Dept Rehabil Med, Chengdu, Peoples R China; [Qing, Liang] Beijing Sport Univ, Sch Sports Med & Rehabil, Beijing, Peoples R China; [Zhao, Tianyu] Hosp Chengdu Univ Tradit Chinese Med, Dept Rehabil Med, Chengdu, Peoples R China; [Gou, Xiang; Pang, Rizhao] Gen Hosp Western Theater Command, Dept Rehabil Med, Chengdu, Peoples R China								0							Sport Sciences	WOS:001824976100001	55	Article; Early Access; Article; Early Access		
J	Song, Honghong								Predictive Effect of Echocardiographic Assessment of Myocardial Efficiency on Martial Arts Performance								JOURNAL OF SPORTS SCIENCE AND MEDICINE											10.52082/jssm.2026.569				2026	Cardiac strain and myocardial work indices may provide additional information for performance stratification beyond traditional physiological assessments in martial arts, but their relevance to anaerobic and neuromotor performance remains insufficiently defined. This cross-sectional observational predictive modeling study assessed whether echocardiographic myocardial efficiency indices were associated with performance classification among national-level martial artists. A total of 180 athletes were assessed, and the primary comparative analysis used the top and bottom tertiles of a composite performance score to define higher-performance athletes and a lower-performance internal reference group, respectively, rather than a non-athlete control group. Echocardiographic indices included global longitudinal strain (GLS), global work efficiency (GWE), global wasted work (GWW), and myocardial performance index (MPI). Performance outcomes included Wingate anaerobic power, agility time, reaction time, Balance Error Scoring System (BESS) errors, and Finger-to-Nose Alternation Test (FTNAT) coordination. Higher-performance athletes showed greater peak power than the lower-performance reference group (11.7 f 1.3 vs. 9.3 f 1.2 W/kg, p = 0.002), faster agility time (9.0 f 0.7 vs. 10.6 f 0.9 s, p = 0.001), and higher technical execution scores (8.4 f 1.0 vs. 5.6 f 1.4, p = 0.001). GLS magnitude was greater across myocardial segments, GWE was higher (96.8% vs. 92.1%, p = 0.002), and GWW was lower (9.4% vs. 13.2%, p = 0.003). GLS and GWE were associated with group classification in regression models, while lower MPI values were associated with shorter agility times and fewer balance errors, indicating better performance direction for both outcomes. These findings suggest that cardiac strain and myocardial work indices are associated with anaerobic and neuromotor performance in martial artists; however, longitudinal validation is required before these measures can be considered predictive markers for talent identification or training decisions.		[Song, Honghong] Shandong Sport Univ, Martial Arts Acad, Jinan 250000, Shandong, Peoples R China; [Song, Honghong] Shandong Sport Univ, Martial Arts Acad, Jinan 250000, Shandong, Peoples R China								0							Sport Sciences	WOS:001822884700001	39	Article; Early Access; Article; Early Access		
J	Muller-Jabusch, Yoram; Petrella, Davide; Vanwanseele, Benedicte; de Beukelaar, Toon T.								Estimating running economy using wearable trunk accelerometry: a comparative analysis of three footwear conditions in highly trained runners								SPORTS BIOMECHANICS											10.1080/14763141.2026.2715652				2026	Wearable accelerometry offers a practical methodology for analysing running biomechanics, a key determinant of running economy (RE). This study investigated whether accelerometer-derived features could estimate RE in highly trained runners. Eighteen male participants (age: 26.5 +/- 3.4 years; body mass index: 21.1 +/- 1.2 kg/m(2); 5 km personal best: 15 min 26 s +/- 1 min) completed one laboratory visit, with RE assessed during 5-min treadmill runs at 12 km/h and 16 km/h across three shoe conditions. Metabolic parameters were quantified via indirect calorimetry, while a tri-axial accelerometer measured biomechanical features. A data-driven two-step variable-selection procedure was combined with a linear mixed model to estimate RE from accelerometer data. Estimation accuracy was assessed with mean absolute error (MAE) and Bland-Altman plots. A three-way repeated-measures ANOVA was used to compare estimated and actual RE across speed and shoe conditions. At 12 km/h, six biomechanical variables explained 35.4% of RE variance, whereas at 16 km/h, two variables accounted for 35.1%. While estimated and actual RE did not significantly differ at either speed (p = 1.00), this does not demonstrate equivalence. Relative MAE was 3-4% and Bland-Altman plots showed wide relative limits of agreement (similar to 9-10%), indicating limited individual-level accuracy. Accelerometry could estimate RE within this sample on a group-level, but its individual-level accuracy and sensitivity to footwear effects are limited.		[Muller-Jabusch, Yoram; Petrella, Davide; Vanwanseele, Benedicte] Katholieke Univ Leuven, Dept Movement Sci, Human Movement Biomech Res Grp, Leuven, Belgium; [Muller-Jabusch, Yoram; de Beukelaar, Toon T.] Katholieke Univ Leuven, Dept Movement Sci, Neurosci Movement & Performance Res Grp, Leuven, Belgium; [Petrella, Davide; Vanwanseele, Benedicte; de Beukelaar, Toon T.] Katholieke Univ Leuven, Inst Sports Sci, Leuven, Belgium; [Muller-Jabusch, Yoram] Radboud Univ Nijmegen, Dept Med Biosci, Med Ctr, Nijmegen, Netherlands; [de Beukelaar, Toon T.] Katholieke Univ Leuven, Dept Movement Sci, Neurosci Movement & Performance Res Grp, Leuven, Belgium; [de Beukelaar, Toon T.] Katholieke Univ Leuven, Inst Sports Sci, Leuven, Belgium								0							Engineering, Biomedical; Sport Sciences	WOS:001855511000001	43	Article; Early Access; Article; Early Access		
J	Ilbak, Ismail; Ilkim, Mehmet; Tasci, Mehmet; Karatas, Ozgur; Tornoczky, Gusztav Jozsef								Psychological preparation in wrestling coaching: A qualitative exploration of athlete- and coach-focused strategies								INTERNATIONAL JOURNAL OF SPORTS SCIENCE & COACHING											10.1177/17479541261479936				2026	Coaching in elite sport involves complex psychological, emotional, and interpersonal demands that influence both coaching effectiveness and athlete performance. In wrestling, coaches play a central role in facilitating athletes' psychological readiness while simultaneously regulating their own psychological states during competition. Despite the established importance of psychological preparation and Psychological Skills Training (PST) in sport, limited research has examined how coaches apply and adapt these strategies within applied coaching environments. The present study therefore explored psychological preparation strategies used by wrestling coaches, focusing on athlete- and coach-focused practices in competitive settings. A qualitative interpretivist design using reflexive thematic analysis was adopted. Semi-structured interviews were conducted with 33 wrestling coaches selected through purposive sampling. The analysis developed three interconnected themes: (1) athlete-focused psychological preparation strategies, (2) self-regulation and emotional management in coaching under pressure, and (3) reflective and experience-based evaluation of psychological preparation practices. The findings indicated that coaches implemented a range of applied psychological strategies, including motivational communication, imagery, self-talk, breathing techniques, routines, and reflective practices, to support both athlete performance and coaching effectiveness. These strategies appeared to function as informal and embedded forms of Psychological Skills Training (PST) integrated within everyday coaching routines. The findings also highlighted the reciprocal relationship between coaches' psychological states and athletes' performance preparation. Overall, the study contributes to a more context-sensitive understanding of psychological preparation in wrestling coaching and provides insight into how psychological strategies are translated into coaching practice. The findings have practical implications for developing evidence-informed approaches to psychological preparation in competitive sport.		[Ilbak, Ismail; Ilkim, Mehmet; Karatas, Ozgur] Inonu Univ, Fac Sport Sci, TR-44050 Malatya, Turkiye; [Tasci, Mehmet] Inonu Univ, Inst Hlth Sci, TR-44050 Malatya, Turkiye; [Tornoczky, Gusztav Jozsef] Univ Pecs, Phys Educ & Exercise Ctr, Med Sch, Jakabhegy u 6, H-7624 Pecs, Hungary; [Tornoczky, Gusztav Jozsef] Eotvos Lorand Univ, Inst Hlth Promot & Sport Sci, Fac Educ & Psychol, Budapest, Hungary; [Tornoczky, Gusztav Jozsef] Univ Pecs, Phys Educ & Exercise Ctr, Med Sch, Jakabhegy u 6, H-7624 Pecs, Hungary								0							Hospitality, Leisure, Sport & Tourism; Psychology, Applied	WOS:001854878800001	71	Article; Early Access; Article; Early Access		
J	Freitas, Ines; Gouveia, Elvio Rubio; Saldanha, Carolina; Sousa, Honorato; Sarmento, Hugo; Sampaio, Antonio R.; Cinarli, Fahri; Franca, Cintia								Load distribution and positional demands in female soccer: An analysis of training and match play								INTERNATIONAL JOURNAL OF SPORTS SCIENCE & COACHING											10.1177/17479541261479186				2026	Monitoring training and match load has become a current practice in football. The current study's aims were: (1) to explore differences in external and internal load volume between playing positions within training sessions and matches, and (2) to analyze external and internal load distribution across the training microcycle based on playing positions in female soccer. Twenty-one professional female soccer players were monitored during 128 training sessions and 19 matches. Players were classified by playing position: center backs (CBs, n = 3), full backs (FBs, n = 5), central midfielders (CMs, n = 6), wide forwards (WFs, n = 3), and central forwards (CFs, n = 4). The data from weekly microcycles were organized by the days before match day (MD). External load was measured using GPS technology, and internal load was assessed using the session rating of perceived exertion (sRPE). CFs and WFs covered greater total distances and performed more accelerations and decelerations than the other playing positions, both in training and matches. Variations in load volume across the weekly training microcycle were observed by playing position, including differences in sRPE. MD-1 consistently showed the lowest load (representing 36.3% of the match load), while higher load volumes were recorded between MD-2 and MD-3 (representing 63.6% and 56.8% of the match load, respectively). Playing position significantly influenced both external and internal loads during training and match play. Intra-microcycle variations in load volume highlighted the position-specific physical and physiological demands, supporting the need for individualized training prescriptions that account for the distinct locomotor and metabolic requirements of playing position.		[Freitas, Ines; Gouveia, Elvio Rubio; Sousa, Honorato; Franca, Cintia] Univ Madeira, Dept Phys Educ & Sport, Funchal, Portugal; [Freitas, Ines; Sampaio, Antonio R.] Maia Polytech Inst IPMAIA, Polytech Inst Maia N2i, Res Ctr, Maia, Portugal; [Gouveia, Elvio Rubio; Franca, Cintia] Interact Technol Inst, LARSyS, Funchal, Portugal; [Gouveia, Elvio Rubio] Univ Geneva, Ctr Interdisciplinary Study Gerontol & Vulnerabil, Geneva, Switzerland; [Gouveia, Elvio Rubio; Sarmento, Hugo] Univ Lisbon, Fac Motricidade Humana, CIPER, Cruz Quebrada Dafundo, Portugal; [Saldanha, Carolina; Sarmento, Hugo] Univ Coimbra, Fac Sport Sci & Phys Educ, CIPER, Coimbra, Portugal; [Sampaio, Antonio R.] Univ Maia UMaia, Res Ctr Sports Sci Hlth Sci & Human Dev CIDESD, Maia, Portugal; [Cinarli, Fahri] Inonu Univ, Fac Sport Sci, Malatya, Turkiye; [Franca, Cintia] Univ Madeira, Dept Phys Educ & Sport, Funchal, Portugal								0							Hospitality, Leisure, Sport & Tourism; Psychology, Applied	WOS:001854881800001	33	Article; Early Access; Article; Early Access		
J	Walter, Leonie; Cohen, Henry; Sanchez, Raimundo; van Iperen, Luuk; Day, Melissa; Besomi, Manuela								Distinct self-regulation patterns differentiate runners by recent injury history and current injury status: A cross-sectional study of Australian runners								PHYSICAL THERAPY IN SPORT				81						101973	10.1016/j.ptsp.2026.101973			SEP 2026	2026	Objective: To examine self-regulation strategies, passion, and pain responses among runners with distinct injury recency profiles. Design: Cross-sectional study. Setting: Online survey. Participants: 335 runners (50.5% male; median age 39 years, IQR 29-51). Main outcome measures: Demands, resources, and recovery (DISQ-R Sport 1.2); metacognition (Self-Regulation of Sport Practice Survey); 12-month injury severity (OSTRC-H2); passion (Passion Scale); and pain responses (Pain Responses Scale). Results: Participants were grouped into four profiles: currently (n = 85), recently (n =115), previously (n = 90), and never injured (n = 45). Currently and recently injured runners reported higher physical/emotional demands, evaluative overthinking, and maladaptive pain responses. Previously injured runners showed stronger cognitive/ emotional recovery strategies, but high passion combined with frequent event participation increased remoteinjury classification likelihood. Never-injured runners were characterized by lower demands, greater cognitive resources, fewer negative pain responses, older age, and more running experience. Conclusions: Distinct patterns of self-regulation, passion, and pain responses differentiate recent injury history profiles in runners. Integrating psychological and behavioural factors with physical training may improve understanding of psychological correlates across distinct injury histories and support more holistic strategies tailored to the runner's current injury status.		[Walter, Leonie] Univ Rome Foro Italico, Rome, Italy; [Walter, Leonie; Sanchez, Raimundo; Besomi, Manuela] Univ Queensland, Sch Hlth & Rehabil Sci, Brisbane, Qld, Australia; [Cohen, Henry; Day, Melissa] Univ Queensland, Sch Psychol, Brisbane, Qld, Australia; [Sanchez, Raimundo; Day, Melissa; Besomi, Manuela] Univ Queensland, Ctr Innovat Pain & Hlth Res, Brisbane, Qld, Australia; [van Iperen, Luuk] Radboud Univ Nijmegen, Strategy & Change, Nijmegen, Netherlands; [Besomi, Manuela] Univ Desarrollo, Carrera Kinesiol, Santiago, Chile; [Besomi, Manuela] Running Clin, Lac Beauport, PQ, Canada; [Day, Melissa] Univ Washington Seattle, Dept Rehabil Med, Seattle, WA 98104 USA; [Walter, Leonie] Alma Mater Europaea Univ, Vienna, Austria; [Besomi, Manuela] Therapies Bldg 84A Serv Rd, St Lucia, Qld 4067, Australia								0							Rehabilitation; Sport Sciences	WOS:001854070000001	38	Article; Article		
