Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;19817;"British Journal of Sports Medicine";journal;"03063674, 14730480";"BMJ Publishing Group";No;No;4,691;Q1;256;270;922;10229;8080;559;6,45;37,89;37,82;31;United Kingdom;Western Europe;"BMJ Publishing Group";"1964, 1974-2026";"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)";"Health Professions; Medicine"
2;20373;"Sports Medicine";journal;"01121642, 11792035";"Springer International Publishing AG";Yes;No;3,492;Q1;262;154;508;13564;4536;416;8,17;88,08;30,18;10;Switzerland;Western Europe;"Springer International Publishing AG";"1984-2026";"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)";"Health Professions; Medicine"
3;19799;"American Journal of Sports Medicine";journal;"03635465, 15523365";"SAGE Publications Inc.";No;No;2,363;Q1;292;439;1355;16782;6570;1197;4,27;38,23;22,76;7;United States;Northern America;"SAGE Publications Inc.";"1973-2026";"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)";"Health Professions; Medicine"
4;21100241208;"Bone and Joint Journal";journal;"20494408, 20494394";"British Editorial Society of Bone and Joint Surgery";No;No;2,280;Q1;224;187;799;6001;3779;739;4,64;32,09;18,03;0;United Kingdom;Western Europe;"British Editorial Society of Bone and Joint Surgery";"2013-2026";"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Sports Science (Q1); Surgery (Q1)";"Health Professions; Medicine"
5;17900156719;"International Review of Sport and Exercise Psychology";journal;"1750984X, 17509858";"Routledge";No;No;2,066;Q1;68;13;53;1168;429;52;7,31;89,85;26,09;0;United Kingdom;Western Europe;"Routledge";"2009-2026";"Applied Psychology (Q1); Sports Science (Q1)";"Health Professions; Psychology"
6;21100199724;"Qualitative Research in Sport, Exercise and Health";journal;"21596778, 2159676X";"Taylor and Francis Ltd.";No;No;2,022;Q1;57;49;178;3037;1085;177;7,23;61,98;60,23;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2011-2026";"Health (social science) (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Social Psychology (Q1); Sports Science (Q1)";"Health Professions; Psychology; Social Sciences"
7;15222;"Arthroscopy - Journal of Arthroscopic and Related Surgery";journal;"07498063, 15263231";"W.B. Saunders";No;No;2,002;Q1;203;394;1618;10696;4287;866;2,68;27,15;18,32;6;United States;Northern America;"W.B. Saunders";"1985-2025";"Orthopedics and Sports Medicine (Q1); Sports Science (Q1)";"Health Professions; Medicine"
8;21723;"Journal of Shoulder and Elbow Surgery";journal;"15326500, 10582746";"Elsevier Inc.";No;No;1,855;Q1;187;387;1275;12848;5017;1214;3,56;33,20;19,31;3;United States;Northern America;"Elsevier Inc.";"1992-2026";"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Sports Science (Q1); Surgery (Q1)";"Health Professions; Medicine"
9;19890;"Knee Surgery, Sports Traumatology, Arthroscopy";journal;"09422056, 14337347";"John Wiley and Sons Inc";No;No;1,785;Q1;167;668;1448;23316;6429;1371;4,26;34,90;19,67;16;Germany;Western Europe;"John Wiley and Sons Inc";"1993-2026";"Orthopedics and Sports Medicine (Q1); Sports Science (Q1); Surgery (Q1)";"Health Professions; Medicine"
10;23478;"Journal of Physiology";journal;"00223751, 14697793";"John Wiley and Sons Inc";No;No;1,708;Q1;285;419;1381;23689;4550;900;3,35;56,54;37,55;0;United Kingdom;Western Europe;"John Wiley and Sons Inc";"1878-2026";"Physiology (Q1); Sports Science (Q1)";"Biochemistry, Genetics and Molecular Biology; Health Professions"
